,municipality,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm,windy_days,rainy_days,sunny_days,warm_days,quarter_num,quarter_ord,avg_income,people/km2,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,5 - 9,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 ou mais,Menos de 5,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university,log_price_sqm
57,Resende,867.5681388888889,9.430088466183577,5.836956521739131,394.1,4.283695652173913,0,69,66,24,4,17,1021.3,79.1,403.0,465.0,544.0,465.0,468.0,502.0,559.0,693.0,342.0,795.0,799.0,817.0,695.0,621.0,472.0,408.0,414.0,300.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,11.0,5.0,3.0,0.0,6.082218910376446
58,Alijó,514.4008833333334,5.591313949275363,7.616304347826087,547.8,5.9543478260869565,0,53,32,0,4,17,1107.7,34.7,337.0,428.0,464.0,454.0,423.0,512.0,603.0,611.0,299.0,693.0,830.0,884.0,867.0,827.0,697.0,559.0,551.0,285.0,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0,6.1779441140506
59,Armamar,513.1703944444445,5.577939070048309,7.2923913043478255,453.9,4.933695652173912,0,53,31,0,4,17,1070.8,48.2,197.0,239.0,314.0,263.0,274.0,253.0,308.0,327.0,182.0,444.0,455.0,529.0,414.0,384.0,338.0,275.0,324.0,130.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,5.991464547107982
60,Carrazeda de Ansiães,509.0902638888889,5.533589824879227,8.166304347826086,324.7,3.529347826086956,0,50,28,0,4,17,1012.8,19.3,183.0,201.0,206.0,207.0,227.0,234.0,308.0,324.0,162.0,348.0,365.0,431.0,497.0,484.0,416.0,314.0,363.0,120.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0,5.7745515455444085
62,Mesão Frio,517.5211972222222,5.625230404589372,6.178260869565217,487.1,5.2945652173913045,0,57,33,2,4,17,1029.5,130.8,135.0,157.0,220.0,173.0,167.0,133.0,215.0,275.0,85.0,233.0,289.0,297.0,277.0,254.0,175.0,151.0,150.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0,6.941368534070794
64,Murça,497.7955083333333,5.410820742753623,7.709782608695652,376.7,4.094565217391304,0,51,29,0,4,17,1150.0,27.8,199.0,192.0,257.0,224.0,233.0,228.0,311.0,289.0,127.0,343.0,393.0,440.0,467.0,447.0,394.0,265.0,339.0,108.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0,6.049733455231958
66,Sabrosa,514.4008833333334,5.591313949275363,7.616304347826087,547.8,5.9543478260869565,0,53,32,0,4,17,1180.7,35.9,191.0,253.0,262.0,277.0,259.0,299.0,308.0,401.0,158.0,346.0,381.0,464.0,471.0,443.0,372.0,305.0,290.0,154.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,3.0,2.0,2.0,21.0,3.0,1.0,0.0,6.056784013228625
67,Santa Marta de Penaguião,516.4990944444445,5.61412059178744,6.6510869565217385,442.4,4.808695652173912,0,54,32,2,4,17,1030.8,86.4,225.0,208.0,334.0,286.0,234.0,239.0,345.0,445.0,175.0,403.0,470.0,490.0,564.0,498.0,394.0,251.0,285.0,137.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,22.0,0.0,1.0,0.0,6.941368534070794
70,Tabuaço,524.5272555555556,5.701383212560387,8.755434782608695,387.3,4.209782608695653,0,53,34,1,4,17,1152.5,37.7,163.0,201.0,261.0,235.0,242.0,255.0,287.0,280.0,137.0,323.0,379.0,455.0,460.0,409.0,288.0,227.0,300.0,150.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,5.420534999272286
71,Tarouca,512.5126277777778,5.57078943236715,9.940217391304348,456.6,4.96304347826087,0,55,30,2,4,17,1074.0,76.1,335.0,387.0,448.0,375.0,366.0,390.0,494.0,523.0,308.0,588.0,595.0,629.0,530.0,462.0,408.0,286.0,245.0,246.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,2.0,9.0,0.0,0.0,0.0,6.532334292222349
