Designation,count,mean,std,min,25%,50%,75%,max
Cuba,22.0,551.09,122.15,260.0,554.5,597.0,626.5,649.0
Câmara de Lobos,22.0,1415.73,378.07,1044.0,1142.5,1297.5,1507.5,2476.0
Elvas,22.0,573.5,94.06,457.0,501.0,581.5,596.75,841.0
Entroncamento,22.0,825.45,239.23,530.0,642.0,759.0,1012.5,1278.0
Espinho,22.0,1665.27,377.28,1190.0,1429.0,1547.5,1855.5,2460.0
Esposende,22.0,1393.77,279.16,1086.0,1203.5,1305.0,1506.0,2100.0
Estarreja,22.0,867.36,126.01,665.0,785.25,832.5,953.0,1148.0
Estremoz,22.0,672.91,82.01,514.0,606.25,674.0,734.5,808.0
Fafe,22.0,874.64,124.15,692.0,772.25,867.5,955.0,1111.0
Faro,22.0,2072.05,323.21,1622.0,1746.5,2157.0,2316.5,2596.0
Felgueiras,22.0,847.05,84.02,705.0,763.0,850.5,928.75,972.0
Ferreira do Alentejo,22.0,499.27,69.0,371.0,452.0,508.0,548.25,622.0
Ferreira do Zêzere,22.0,687.05,86.55,525.0,633.0,694.0,721.0,843.0
Figueira da Foz,22.0,1206.14,211.92,904.0,1033.75,1166.0,1396.25,1585.0
Figueira de Castelo Rodrigo,22.0,183.32,33.83,130.0,158.75,181.0,206.75,250.0
Figueiró dos Vinhos,22.0,523.55,88.95,322.0,513.25,536.5,591.25,630.0
Fornos de Algodres,22.0,412.44,240.19,159.0,226.25,311.5,654.52,820.86
Fronteira,22.0,466.15,117.64,255.0,417.5,460.5,528.25,792.34
Funchal,22.0,2103.73,497.42,1543.0,1665.75,1957.0,2499.5,3100.0
Fundão,22.0,606.09,71.01,500.0,578.75,599.5,615.25,749.0
Gavião,22.0,321.36,61.24,223.0,272.5,320.0,366.5,453.0
Golegã,22.0,732.86,107.65,588.0,628.25,722.0,842.25,892.0
Gondomar,22.0,1382.91,248.8,975.0,1159.25,1407.5,1568.25,1821.0
Gouveia,22.0,388.86,55.83,250.0,381.25,402.5,420.25,456.0
Grândola,22.0,1654.41,356.42,1045.0,1300.75,1711.0,1912.25,2293.0
Guarda,22.0,717.68,66.83,618.0,661.5,719.5,743.75,910.0
Guimarães,22.0,1095.09,156.16,857.0,984.0,1067.5,1214.25,1414.0
Góis,22.0,411.55,96.33,259.0,340.25,415.5,482.5,594.0
Horta,22.0,952.73,163.39,704.0,831.25,998.0,1065.5,1198.0
Idanha-a-Nova,22.0,284.86,25.51,238.0,267.25,279.0,304.0,330.0
Lagoa,44.0,1688.68,660.26,825.0,1183.0,1655.0,2310.25,2793.0
Lagos,22.0,2654.5,537.22,2009.0,2121.5,2586.0,3156.25,3582.0
