year,municipality,people/km2
2021,Oliveira do Hospital,83.0
2021,Ourém,108.6
2021,Ourique,7.3
2021,Ovar,376.3
2021,Paços de Ferreira,785.2
2021,Palmela,151.1
2021,Pampilhosa da Serra,10.3
2021,Paredes,542.1
2021,Paredes de Coura,62.8
2021,Pedrógão Grande,27.2
2021,Penacova,60.1
2021,Penafiel,329.1
2021,Penalva do Castelo,54.6
2021,Penamacor,8.5
2021,Penedono,20.9
2021,Penela,40.8
2021,Peniche,344.8
2021,Peso da Régua,152.8
2021,Pinhel,16.5
2021,Pombal,82.2
2021,Ponta Delgada,291.2
2021,Ponta do Sol,183.2
2021,Ponte da Barca,60.7
2021,Ponte de Lima,128.5
2021,Ponte de Sor,18.2
2021,Portalegre,49.8
2021,Portel,9.6
2021,Portimão,331.1
2021,Porto,5697.8
2021,Porto de Mós,89.8
2021,Porto Moniz,30.1
2021,Porto Santo,122.0
2021,Póvoa de Lanhoso,164.2
2021,Póvoa de Varzim,792.0
2021,Povoação,55.2
2021,Proença-a-Nova,18.0
2021,Redondo,17.0
2021,Reguengos de Monsaraz,21.3
2021,Resende,80.8
2021,Ribeira Brava,196.0
2021,Ribeira de Pena,26.9
2021,Ribeira Grande,176.3
2021,Rio Maior,79.0
2021,Sabrosa,35.5
2021,Sabugal,13.8
2021,Salvaterra de Magos,91.4
2021,Santa Comba Dão,96.4
2021,Santa Cruz,528.4
2021,Santa Cruz da Graciosa,67.7
2021,Santa Cruz das Flores,29.3
2021,Santa Maria da Feira,636.3
2021,Santa Marta de Penaguião,87.2
2021,Santana,68.4
2021,Santarém,108.2
2021,Santiago do Cacém,26.5
2021,Santo Tirso,495.5
2021,São Brás de Alportel,74.0
2021,São João da Madeira,2870.2
2021,São João da Pesqueira,25.6
2021,São Pedro do Sul,43.5
2021,São Roque do Pico,23.1
2021,São Vicente,61.7
2021,Sardoal,38.5
2021,Sátão,54.6
2021,Seia,49.8
2021,Seixal,1761.2
2021,Sernancelhe,24.9
2021,Serpa,12.5
2021,Sertã,33.3
2021,Sesimbra,272.8
2021,Setúbal,534.6
2021,Sever do Vouga,84.8
2021,Silves,56.2
2021,Sines,71.2
2021,Sintra,1213.0
2021,Sobral de Monte Agraço,213.5
2021,Soure,65.2
2021,Sousel,15.8
2021,Tábua,56.8
2021,Tabuaço,37.6
2021,Tarouca,73.8
2021,Tavira,45.3
2021,Terras de Bouro,23.0
2021,Tomar,104.1
2021,Tondela,69.8
2021,Torre de Moncorvo,12.8
2021,Torres Novas,127.2
2021,Torres Vedras,208.6
2021,Trancoso,23.2
2021,Trofa,541.7
2021,Vagos,141.9
2021,Vale de Cambra,144.5
2021,Valença,117.8
2021,Valongo,1286.6
2021,Valpaços,26.6
2021,Velas,42.2
2021,Vendas Novas,51.1
2021,Viana do Alentejo,13.8
2021,Viana do Castelo,269.6
2021,Vidigueira,16.5
2021,Vieira do Minho,55.4
2021,Vila da Praia da Vitória,121.7
2021,Vila de Rei,17.7
2021,Vila do Bispo,32.4
2021,Vila do Conde,550.8
2021,Vila do Porto,56.6
2021,Vila Flor,22.8
2021,Vila Franca de Xira,432.7
2021,Vila Franca do Campo,132.9
2021,Vila Nova da Barquinha,147.2
2021,Vila Nova de Cerveira,83.0
2021,Vila Nova de Famalicão,665.1
2021,Vila Nova de Foz Côa,15.8
2021,Vila Nova de Gaia,1815.9
2021,Vila Nova de Paiva,26.7
2021,Vila Nova de Poiares,82.9
2021,Vila Pouca de Aguiar,27.0
2021,Vila Real,130.9
2021,Vila Real de Santo António,308.9
2021,Vila Velha de Ródão,10.4
2021,Vila Verde,205.3
2021,Vila Viçosa,37.9
2021,Vimioso,8.6
2021,Vinhais,11.0
2021,Viseu,197.7
2021,Vizela,975.1
2021,Vouzela,50.1
2022,Abrantes,47.4
2022,Águeda,139.2
2022,Aguiar da Beira,25.6
2022,Alandroal,9.2
2022,Albergaria-a-Velha,159.5
2022,Albufeira,330.7
2022,Alcácer do Sal,7.4
2022,Alcanena,99.1
2022,Alcobaça,138.0
2022,Alcochete,154.4
2022,Alcoutim,4.3
2022,Alenquer,154.2
2022,Alfândega da Fé,13.2
2022,Alijó,34.8
2022,Aljezur,19.3
2022,Aljustrel,19.4
2022,Almada,2562.1
2022,Almeida,11.0
2022,Almeirim,101.7
2022,Almodôvar,8.6
2022,Alpiarça,75.6
2022,Alter do Chão,8.7
2022,Alvaiázere,39.2
2022,Alvito,8.5
2022,Amadora,7363.6
2022,Amarante,172.8
2022,Amares,234.5
2022,Anadia,128.7
2022,Angra do Heroísmo,141.9
2022,Ansião,66.5
2022,Arcos de Valdevez,46.3
2022,Arganil,33.5
2022,Armamar,48.6
2022,Arouca,63.6
2022,Arraiolos,9.9
2022,Arronches,8.8
2022,Arruda dos Vinhos,191.3
2022,Aveiro,424.1
