municipality,quarter_year,total_sunshine_h,mean_sunshine_h,windspeed_mean_kmh,total_precipitation_mm,mean_precipitation_mm
Sernancelhe,4Q 2021,663.4051416666666,7.21092545289855,12.52608695652174,153.70000000000002,1.6706521739130438
Sernancelhe,4Q 2022,524.7762527777778,5.704089704106281,13.902173913043478,415.3,4.514130434782609
Sernancelhe,4Q 2023,554.9696361111111,6.032278653381642,13.398913043478261,354.9,3.8576086956521736
Sernancelhe,4Q 2024,642.1176833333333,6.979540036231883,11.17608695652174,258.1,2.805434782608696
Serpa,1Q 2020,704.4888194444444,7.741635378510378,9.290109890109889,117.5,1.2912087912087913
Serpa,1Q 2021,693.8731972222222,7.709702191358025,10.472222222222221,197.3,2.1922222222222225
Serpa,1Q 2022,734.115761111111,8.156841790123456,9.124444444444444,122.60000000000001,1.3622222222222222
Serpa,1Q 2023,753.1884333333334,8.36876037037037,9.477777777777778,55.4,0.6155555555555555
Serpa,1Q 2024,684.9278194444445,7.526679334554335,11.03076923076923,274.4,3.0153846153846153
Serpa,1Q 2025,660.8841722222222,7.343157469135803,11.175555555555555,371.0,4.122222222222222
Serpa,2Q 2020,997.4200722222222,10.960660134310134,10.257142857142856,147.2,1.6175824175824174
Serpa,2Q 2021,1042.0322361111112,11.450903693528694,10.172527472527474,90.5,0.9945054945054945
Serpa,2Q 2022,1036.2024694444444,11.386840323565323,11.17142857142857,59.8,0.6571428571428571
Serpa,2Q 2023,1073.1111083333333,11.792429761904762,9.946153846153846,77.9,0.8560439560439561
Serpa,2Q 2024,1051.657338888889,11.556674053724054,9.896703296703297,43.1,0.47362637362637366
Serpa,3Q 2020,1106.1838333333333,12.02373731884058,9.553260869565218,22.700000000000003,0.24673913043478263
Serpa,3Q 2021,1091.9485777777777,11.869006280193236,9.91195652173913,61.6,0.6695652173913044
Serpa,3Q 2022,1074.2825083333335,11.676983786231885,9.18695652173913,112.0,1.2173913043478262
Serpa,3Q 2023,1090.1728,11.849704347826087,9.86413043478261,56.8,0.6173913043478261
Serpa,3Q 2024,1102.0484027777777,11.978786986714976,9.454347826086956,12.2,0.1326086956521739
Serpa,4Q 2019,655.498375,7.1249823369565215,10.925,166.4,1.808695652173913
Serpa,4Q 2020,660.415938888889,7.1784341183574885,9.657608695652174,268.4,2.917391304347826
Serpa,4Q 2021,737.4839166666667,8.016129528985507,9.833695652173914,107.0,1.1630434782608696
Serpa,4Q 2022,640.8357777777778,6.965606280193237,9.935869565217391,290.5,3.157608695652174
Serpa,4Q 2023,674.0699055555556,7.326846799516908,8.76086956521739,208.0,2.260869565217391
Serpa,4Q 2024,684.5619111111112,7.440890338164252,10.45217391304348,141.70000000000002,1.540217391304348
Sertã,1Q 2020,652.8827555555556,7.174535775335776,11.479120879120877,250.9,2.757142857142857
Sertã,1Q 2021,642.1392527777778,7.134880586419753,12.595555555555555,380.0,4.222222222222222
Sertã,1Q 2022,729.2384638888889,8.102649598765431,12.813333333333334,151.0,1.6777777777777778
Sertã,1Q 2023,726.1767916666666,8.068631018518518,12.282222222222224,204.4,2.2711111111111113
Sertã,1Q 2024,601.3415416666667,6.60814880952381,12.464835164835165,548.3,6.025274725274725
Sertã,1Q 2025,582.8038166666666,6.475597962962963,10.482222222222221,536.7,5.963333333333334
Sertã,2Q 2020,975.6750583333334,10.721703937728938,11.437362637362638,302.90000000000003,3.3285714285714287
Sertã,2Q 2021,1010.183363888889,11.100916086691088,11.007692307692308,212.0,2.32967032967033
Sertã,2Q 2022,1024.1292166666667,11.254167216117217,12.636263736263738,156.5,1.7197802197802199
Sertã,2Q 2023,1049.8524416666667,11.536840018315019,11.43956043956044,151.3,1.6626373626373627
Sertã,2Q 2024,1026.3806083333334,11.278907783882785,11.276923076923078,232.8,2.5582417582417585
Sertã,3Q 2020,1096.6518027777777,11.9201282910628,11.180434782608694,98.19999999999999,1.067391304347826
Sertã,3Q 2021,1083.874911111111,11.781249033816424,11.590217391304348,74.0,0.8043478260869565
Sertã,3Q 2022,1094.3849055555556,11.895488103864736,11.108695652173912,169.9,1.8467391304347827
Sertã,3Q 2023,1079.7563694444445,11.73648227657005,11.432608695652174,70.3,0.7641304347826087
Sertã,3Q 2024,1095.259838888889,11.904998248792271,11.257608695652175,59.3,0.6445652173913043
Sertã,4Q 2019,560.2569361111111,6.089749305555556,12.960869565217392,545.8,5.932608695652173
Sertã,4Q 2020,621.5212,6.7556652173913045,12.082608695652173,389.5,4.233695652173913
Sertã,4Q 2021,679.26115,7.3832733695652175,12.541304347826086,291.4,3.167391304347826
Sertã,4Q 2022,500.2063416666667,5.437025452898551,12.11195652173913,720.5,7.831521739130435
Sertã,4Q 2023,588.50435,6.396786413043479,10.222826086956522,433.8,4.715217391304348
Sertã,4Q 2024,643.6052027777778,6.995708725845411,11.117391304347825,266.3,2.8945652173913046
Sesimbra,1Q 2020,783.6198805555556,8.61120747863248,17.215384615384615,90.6,0.9956043956043955
Sesimbra,1Q 2021,723.0088555555556,8.033431728395062,19.336666666666666,225.3,2.5033333333333334
Sesimbra,1Q 2022,763.5754361111111,8.484171512345679,17.28111111111111,125.1,1.39
Sesimbra,1Q 2023,764.7186194444445,8.496873549382716,17.723333333333333,114.1,1.2677777777777777
Sesimbra,1Q 2024,736.4736194444445,8.093116697191697,20.44065934065934,316.3,3.475824175824176
Sesimbra,1Q 2025,685.0079472222222,7.611199413580247,19.497777777777777,488.6,5.428888888888889
Sesimbra,2Q 2020,1083.2537083333334,11.903886904761906,18.064835164835166,187.8,2.063736263736264
Sesimbra,2Q 2021,1110.9925333333333,12.208709157509157,18.685714285714287,92.7,1.0186813186813186
Sesimbra,2Q 2022,1090.395763888889,11.982371031746032,19.91868131868132,72.9,0.8010989010989011
Sesimbra,2Q 2023,1112.992638888889,12.23068833943834,18.62967032967033,35.8,0.3934065934065934
Sesimbra,2Q 2024,1083.8815194444444,11.910785927960928,18.896703296703297,52.6,0.5780219780219781
Sesimbra,3Q 2020,1097.3438527777778,11.927650573671498,18.067391304347826,30.3,0.3293478260869565
Sesimbra,3Q 2021,1099.3011777777779,11.94892584541063,18.87608695652174,53.2,0.5782608695652174
Sesimbra,3Q 2022,1082.1701194444445,11.762718689613527,17.719565217391306,104.7,1.1380434782608695
Sesimbra,3Q 2023,1095.1302444444445,11.903589613526572,19.231521739130436,26.6,0.2891304347826087
Sesimbra,3Q 2024,1074.1349777777777,11.675380193236714,19.707608695652173,36.7,0.3989130434782609
Sesimbra,4Q 2019,698.7404027777778,7.595004378019325,19.58695652173913,248.5,2.7010869565217392
Sesimbra,4Q 2020,712.8987666666667,7.74889963768116,18.22717391304348,246.1,2.675
Sesimbra,4Q 2021,769.2857222222223,8.361801328502416,17.407608695652176,108.3,1.1771739130434782
Sesimbra,4Q 2022,655.4468611111112,7.124422403381643,18.043478260869566,403.3,4.383695652173913
Sesimbra,4Q 2023,679.2379694444444,7.38302140700483,17.065217391304348,238.9,2.596739130434783
Sesimbra,4Q 2024,759.2716194444445,8.2529523852657,17.463043478260868,214.4,2.3304347826086955
Setúbal,1Q 2020,722.9667083333334,7.944689102564103,12.1,101.8,1.1186813186813187
Setúbal,1Q 2021,686.611575,7.6290175,13.264444444444443,244.7,2.718888888888889
Setúbal,1Q 2022,737.8416138888889,8.198240154320988,11.693333333333335,163.3,1.8144444444444445
Setúbal,1Q 2023,751.2514555555556,8.347238395061728,11.675555555555555,98.3,1.0922222222222222
Setúbal,1Q 2024,712.3409194444445,7.8279221916971915,13.625274725274727,286.3,3.146153846153846
Setúbal,1Q 2025,635.2903333333334,7.058781481481482,13.318888888888889,435.0,4.833333333333333
Setúbal,2Q 2020,1045.1085166666667,11.484708974358975,13.53076923076923,213.4,2.345054945054945
Setúbal,2Q 2021,1073.5296027777779,11.797028601953603,13.732967032967034,141.3,1.5527472527472528
Setúbal,2Q 2022,1064.3856083333333,11.696545146520146,15.237362637362637,71.3,0.7835164835164835
Setúbal,2Q 2023,1094.455836111111,12.026987210012209,14.643956043956043,89.2,0.9802197802197803
Setúbal,2Q 2024,1038.012338888889,11.406728998779,13.703296703296703,73.1,0.8032967032967032
Setúbal,3Q 2020,1088.6141416666667,11.83276240942029,14.592391304347826,27.2,0.2956521739130435
Setúbal,3Q 2021,1093.2822472222222,11.883502687198067,15.332608695652173,59.8,0.65
Setúbal,3Q 2022,1066.6179,11.593672826086957,13.51086956521739,79.9,0.8684782608695653
Setúbal,3Q 2023,1084.7789944444444,11.791076026570048,15.629347826086958,37.2,0.4043478260869566
Setúbal,3Q 2024,1065.3426305555556,11.579811201690822,15.917391304347827,19.9,0.21630434782608693
Setúbal,4Q 2019,655.1970527777778,7.1217070954106285,14.320652173913043,270.0,2.9347826086956523
Setúbal,4Q 2020,667.7936972222222,7.258627143719807,12.48695652173913,232.9,2.5315217391304348
Setúbal,4Q 2021,740.1714111111111,8.045341425120773,12.677173913043477,155.8,1.6934782608695653
